,BEN,BP,CO,MPXY,NO,NO2,O3,RH,SO2,TEMP,TOL,WD,WS
BEN,1.0,0.045,0.101,0.253,0.082,0.238,-0.044,-0.025,-0.138,0.021,0.16,-0.131,-0.114
BP,0.045,1.0,0.133,-0.166,-0.011,-0.114,0.01,-0.298,0.048,0.117,-0.176,-0.153,0.16
CO,0.101,0.133,1.0,0.345,0.18,0.05,-0.043,-0.093,-0.01,0.066,0.087,-0.14,-0.041
MPXY,0.253,-0.166,0.345,1.0,-0.031,-0.115,0.026,-0.088,-0.191,0.152,-0.123,-0.121,0.003
NO,0.082,-0.011,0.18,-0.031,1.0,0.574,-0.17,0.07,0.148,-0.368,0.373,0.029,-0.456
NO2,0.238,-0.114,0.05,-0.115,0.574,1.0,-0.282,0.14,0.196,-0.319,0.28,-0.042,-0.559
O3,-0.044,0.01,-0.043,0.026,-0.17,-0.282,1.0,-0.358,0.091,0.215,0.089,0.176,0.217
RH,-0.025,-0.298,-0.093,-0.088,0.07,0.14,-0.358,1.0,-0.201,-0.477,-0.165,-0.154,-0.239
SO2,-0.138,0.048,-0.01,-0.191,0.148,0.196,0.091,-0.201,1.0,-0.005,0.248,-0.134,-0.179
TEMP,0.021,0.117,0.066,0.152,-0.368,-0.319,0.215,-0.477,-0.005,1.0,-0.184,-0.209,0.34
TOL,0.16,-0.176,0.087,-0.123,0.373,0.28,0.089,-0.165,0.248,-0.184,1.0,0.076,-0.259
WD,-0.131,-0.153,-0.14,-0.121,0.029,-0.042,0.176,-0.154,-0.134,-0.209,0.076,1.0,0.063
WS,-0.114,0.16,-0.041,0.003,-0.456,-0.559,0.217,-0.239,-0.179,0.34,-0.259,0.063,1.0
